nthreads,test,routine,MFLOPS
5,xdl3,syr2k,182039.60
5,xdl3,trmm,198721.07
5,xdl3,trsm,125915.87
5,xsl3,gemm,412679.56
5,xsl3,symm,387655.13
5,xsl3,syrk,234458.83
5,xsl3,syr2k,283509.57
5,xsl3,trmm,304705.81
5,xsl3,trsm,120060.00
6,xcl1,nrm2,2833.23
6,xcl1,amax,1580.55
6,xcl1,asum,1778.47
6,xcl1,axpy,6816.03
6,xcl1,copy,1959.01
6,xcl1,swap,3123.30
6,xcl1,dotc,7523.20
6,xcl1,dotu,7628.47
6,xzl1,nrm2,2613.11
6,xzl1,amax,1494.66
6,xzl1,asum,1685.56
6,xzl1,axpy,3283.78
6,xzl1,copy,913.87
6,xzl1,swap,1529.62
6,xzl1,dotc,3410.65
6,xzl1,dotu,3418.63
6,xdl1,nrm2,551.60
6,xdl1,amax,2164.22
6,xdl1,asum,1602.06
6,xdl1,axpy,1698.57
6,xdl1,copy,921.66
6,xdl1,swap,1559.80
6,xdl1,dot,2094.10
6,xdl1,rotm,4069.28
6,xsl1,nrm2,657.08
6,xsl1,amax,4610.48
6,xsl1,asum,1730.11
6,xsl1,axpy,3804.93
6,xsl1,copy,2040.40
6,xsl1,swap,3503.78
6,xsl1,dot,4708.20
6,xsl1,rotm,6546.11
6,xsl1,dsdot,1768.25
6,xsl1,sdsdot,1754.05
6,xcl2,gbmv,1920.80
6,xcl2,gemv,10482.03
6,xcl2,hbmv,3352.53
6,xcl2,hpmv,4582.50
6,xcl2,hemv,15148.22
6,xcl2,tbmv,2321.72
6,xcl2,tpmv,5858.56
6,xcl2,trmv,9725.90
6,xcl2,tbsv,1081.35
6,xcl2,tpsv,12888.01
6,xcl2,trsv,10235.93
6,xcl2,gerc,7454.41
6,xcl2,geru,7476.20
6,xcl2,ger2c,7426.20
6,xcl2,ger2u,7454.06
6,xcl2,hpr,11172.18
6,xcl2,her,7291.10
6,xcl2,hpr2,20012.77
6,xcl2,her2,11479.62
6,xzl2,gbmv,3044.81
6,xzl2,gemv,5763.83
6,xzl2,hbmv,3406.66
6,xzl2,hpmv,4936.78
6,xzl2,hemv,9517.00
6,xzl2,tbmv,2542.77
6,xzl2,tpmv,4924.27
6,xzl2,trmv,5469.08
6,xzl2,tbsv,983.10
6,xzl2,tpsv,6261.45
6,xzl2,trsv,5736.52
6,xdl2,gbmv,969.46
6,xdl2,gemv,3423.77
6,xdl2,sbmv,1449.32
6,xdl2,spmv,3193.42
6,xdl2,symv,4969.37
6,xdl2,tbmv,608.96
6,xdl2,tpmv,3393.22
6,xdl2,trmv,3274.60
6,xdl2,tbsv,381.80
6,xdl2,tpsv,3608.77
6,xdl2,trsv,3449.61
6,xdl2,ger,2794.71
6,xdl2,ger2,2818.06
6,xdl2,spr,3054.27
6,xdl2,syr,2755.27
6,xdl2,spr2,5676.51
6,xdl2,syr2,5183.65
6,xsl2,gbmv,975.47
6,xsl2,gemv,6969.75
6,xsl2,sbmv,1531.88
6,xsl2,spmv,3527.35
6,xsl2,symv,6100.53
6,xsl2,tbmv,517.75
6,xsl2,tpmv,7100.90
6,xsl2,trmv,6516.26
6,xsl2,tbsv,428.10
6,xsl2,tpsv,7601.06
6,xsl2,trsv,7198.07
6,xsl2,ger,5404.12
6,xsl2,ger2,5419.01
6,xsl2,spr,6436.77
6,xsl2,syr,5200.08
6,xsl2,spr2,11793.55
6,xsl2,syr2,9704.95
6,xcl3,gemm,638266.01
6,xcl3,hemm,639587.08
6,xcl3,herk,452961.38
6,xcl3,her2k,478164.50
6,xcl3,symm,647263.60
6,xcl3,syr2k,486123.62
6,xcl3,syrk,457175.10
6,xcl3,trmm,509497.40
