nthreads,test,routine,MFLOPS
3,xdl2,spr2,5683.86
3,xdl2,syr2,5239.93
3,xsl2,gbmv,1097.58
3,xsl2,gemv,7006.57
3,xsl2,sbmv,1388.42
3,xsl2,spmv,3562.05
3,xsl2,symv,9369.45
3,xsl2,tbmv,679.92
3,xsl2,tpmv,7171.93
3,xsl2,trmv,6524.16
3,xsl2,tbsv,405.55
3,xsl2,tpsv,7556.32
3,xsl2,trsv,7238.33
3,xsl2,ger,5456.72
3,xsl2,ger2,5446.27
3,xsl2,spr,6275.06
3,xsl2,syr,5190.98
3,xsl2,spr2,11934.67
3,xsl2,syr2,9780.90
3,xcl3,gemm,379815.76
3,xcl3,hemm,375155.86
3,xcl3,herk,274785.33
3,xcl3,her2k,298772.10
3,xcl3,symm,381033.41
3,xcl3,syr2k,293919.61
3,xcl3,syrk,268437.11
3,xcl3,trmm,320555.27
3,xcl3,trsm,191420.62
3,xzl3,gemm,209651.28
3,xzl3,hemm,211681.12
3,xzl3,herk,174874.60
3,xzl3,her2k,167743.08
3,xzl3,symm,213203.80
3,xzl3,syr2k,170515.96
3,xzl3,syrk,169858.58
3,xzl3,trmm,187821.37
3,xzl3,trsm,152443.32
3,xdl3,gemm,177596.37
3,xdl3,symm,176007.12
3,xdl3,syrk,132161.97
3,xdl3,syr2k,138093.62
3,xdl3,trmm,142927.56
3,xdl3,trsm,95838.98
3,xsl3,gemm,297295.88
3,xsl3,symm,285064.02
3,xsl3,syrk,204371.95
3,xsl3,syr2k,241453.52
3,xsl3,trmm,237861.47
3,xsl3,trsm,78554.06
4,xcl1,nrm2,2755.22
4,xcl1,amax,1789.63
4,xcl1,asum,1745.31
4,xcl1,axpy,6893.06
4,xcl1,copy,2008.25
4,xcl1,swap,3169.11
4,xcl1,dotc,7813.18
4,xcl1,dotu,7799.96
4,xzl1,nrm2,2700.51
4,xzl1,amax,1250.82
4,xzl1,asum,1615.67
4,xzl1,axpy,3348.10
4,xzl1,copy,928.37
4,xzl1,swap,1552.91
4,xzl1,dotc,3494.21
4,xzl1,dotu,3529.03
4,xdl1,nrm2,593.28
4,xdl1,amax,2199.21
4,xdl1,asum,1509.23
4,xdl1,axpy,1734.82
4,xdl1,copy,1134.75
4,xdl1,swap,1595.67
4,xdl1,dot,2160.53
4,xdl1,rotm,4079.93
4,xsl1,nrm2,712.16
4,xsl1,amax,4573.95
4,xsl1,asum,1705.52
4,xsl1,axpy,3882.40
4,xsl1,copy,2127.15
4,xsl1,swap,3527.28
4,xsl1,dot,4976.85
4,xsl1,rotm,6491.30
4,xsl1,dsdot,1729.21
4,xsl1,sdsdot,1727.12
4,xcl2,gbmv,2950.58
4,xcl2,gemv,10146.33
4,xcl2,hbmv,3609.23
4,xcl2,hpmv,4506.22
4,xcl2,hemv,14993.38
4,xcl2,tbmv,2447.06
4,xcl2,tpmv,5818.50
4,xcl2,trmv,9197.67
4,xcl2,tbsv,1070.32
4,xcl2,tpsv,12874.38
4,xcl2,trsv,9848.53
4,xcl2,gerc,7515.36
4,xcl2,geru,7569.35
4,xcl2,ger2c,7544.62
4,xcl2,ger2u,7489.88
4,xcl2,hpr,11308.06
4,xcl2,her,7381.53
4,xcl2,hpr2,20157.56
4,xcl2,her2,11495.06
4,xzl2,gbmv,2915.25
4,xzl2,gemv,5920.48
4,xzl2,hbmv,3262.07
4,xzl2,hpmv,4803.86
4,xzl2,hemv,9587.63
4,xzl2,tbmv,2907.23
4,xzl2,tpmv,4936.71
4,xzl2,trmv,5581.60
4,xzl2,tbsv,895.38
4,xzl2,tpsv,6310.96
4,xzl2,trsv,5876.31
4,xdl2,gbmv,899.36
4,xdl2,gemv,3486.08
4,xdl2,sbmv,1296.82
4,xdl2,spmv,3174.43
4,xdl2,symv,5010.62
4,xdl2,tbmv,696.06
4,xdl2,tpmv,3498.16
4,xdl2,trmv,3352.38
4,xdl2,tbsv,347.73
4,xdl2,tpsv,3689.47
4,xdl2,trsv,3546.07
4,xdl2,ger,2855.00
4,xdl2,ger2,2860.30
4,xdl2,spr,3080.08
4,xdl2,syr,2800.08
4,xdl2,spr2,5784.83
4,xdl2,syr2,5246.37
4,xsl2,gbmv,1050.33
4,xsl2,gemv,7109.96
4,xsl2,sbmv,1394.28
4,xsl2,spmv,3506.73
4,xsl2,symv,9427.22
4,xsl2,tbmv,676.15
4,xsl2,tpmv,7342.67
4,xsl2,trmv,6685.42
4,xsl2,tbsv,397.25
4,xsl2,tpsv,7463.07
4,xsl2,trsv,7324.86
4,xsl2,ger,5519.82
4,xsl2,ger2,5542.68
